No.,Symbol,Company,Sector,Industry
445,IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery
446,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies
447,TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense
448,LNC,Lincoln National Corporation,Financial,Insurance - Life
449,ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment
450,ENPH,"Enphase Energy, Inc.",Technology,Solar
451,CLX,The Clorox Company,Consumer Defensive,Household & Personal Products
452,CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services
453,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets
454,BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail
455,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities
456,CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods
457,BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services
458,L,Loews Corporation,Financial,Insurance - Property & Casualty
459,OGN,Organon & Co.,Healthcare,Drug Manufacturers - General
460,ALLE,Allegion plc,Industrials,Security & Protection Services
461,BRK.B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified
462,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office
463,CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services
464,ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
465,STE,STERIS plc,Healthcare,Medical Devices
466,VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities
467,KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships
468,WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
469,REG,Regency Centers Corporation,Real Estate,REIT - Retail
470,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research
471,ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research
472,MRNA,"Moderna, Inc.",Healthcare,Biotechnology
473,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail
474,BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices
475,FOX,Fox Corporation,Communication Services,Entertainment
476,CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable
477,MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances"
478,IT,"Gartner, Inc.",Technology,Information Technology Services
479,WAT,Waters Corporation,Healthcare,Diagnostics & Research
480,IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty
481,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail
482,CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos
483,AAL,American Airlines Group Inc.,Industrials,Airlines
484,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services
485,DISH,DISH Network Corporation,Communication Services,Telecom Services
486,BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers
487,GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery
488,SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail
489,BA,The Boeing Company,Industrials,Aerospace & Defense
490,CTAS,Cintas Corporation,Industrials,Specialty Business Services
491,POOL,Pool Corporation,Industrials,Industrial Distribution
492,LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services
493,EFX,Equifax Inc.,Industrials,Consulting Services
494,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment
495,ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery
496,SEDG,"SolarEdge Technologies, Inc.",Technology,Solar
497,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
498,WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos
499,NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services
500,CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application
501,PODD,Insulet Corporation,Healthcare,Medical Devices
502,NWS,News Corporation,Communication Services,Entertainment
503,ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail
