Date,Action,Symbol,Company,Reason,,,,,,,,,,
9-Oct-20,Added,VNT,Vontier,S&P 500 constituent Fortive spun off Vontier.[44],,,,,,,,,,
7-Oct-20,Added,POOL,Pool Corporation,Morgan Stanley acquired E*Trade.[45],,,,,,,,,,
7-Oct-20,Removed,ETFC,E-Trade,Morgan Stanley acquired E*Trade.[45],,,,,,,,,,
21-Sep-20,Added,ETSY,Etsy,Market capitalization change.[46],,,,,,,,,,
21-Sep-20,Added,TER,Teradyne,Market capitalization change.[46],,,,,,,,,,
21-Sep-20,Added,CTLT,Catalent,Market capitalization change.[46],,,,,,,,,,
21-Sep-20,Removed,HRB,H&R Block,Market capitalization change.[46],,,,,,,,,,
21-Sep-20,Removed,COTY,Coty,Market capitalization change.[46],,,,,,,,,,
21-Sep-20,Removed,KSS,Kohl's,Market capitalization change.[46],,,,,,,,,,
22-Jun-20,Added,BIO,Bio-Rad Laboratories,Market capitalization change.[47],,,,,,,,,,
22-Jun-20,Added,TDY,Teledyne,Market capitalization change.[47],,,,,,,,,,
22-Jun-20,Added,TYL,Tyler Technologies,Market capitalization change.[47],,,,,,,,,,
22-Jun-20,Removed,ADS,Alliance Data Systems,Market capitalization change.[47],,,,,,,,,,
22-Jun-20,Removed,HOG,Harley-Davidson,Market capitalization change.[47],,,,,,,,,,
22-Jun-20,Removed,JWN,Nordstrom,Market capitalization change.[47],,,,,,,,,,
22-May-20,Added,WST,West Pharmaceutical Services,Market capitalization change.[48],,,,,,,,,,
22-May-20,Removed,HP,Helmerich & Payne,Market capitalization change.[48],,,,,,,,,,
12-May-20,Added,DPZ,Domino's Pizza,Market capitalization change.[49],,,,,,,,,,
12-May-20,Added,DXCM,Dexcom,Allergan acquired by AbbVie.[49],,,,,,,,,,
12-May-20,Removed,CPRI,Capri Holdings,Market capitalization change.[49],,,,,,,,,,
12-May-20,Removed,AGN,Allergan,Allergan acquired by AbbVie.[49],,,,,,,,,,
6-Apr-20,Removed,M,Macy's,Market capitalization change.[50],,,,,,,,,,
6-Apr-20,Removed,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[50],,,,,,,,,,
3-Apr-20,Added,OTIS,Otis Worldwide,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[50],,,,,,,,,,
3-Apr-20,Added,CARR,Carrier,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[50],,,,,,,,,,
1-Apr-20,Added,HWM,Howmet Aerospace,Arconic separated into 2 companies - Howmet remained on the index.[51],,,,,,,,,,
1-Apr-20,Removed,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained on the index.[51],,,,,,,,,,
2-Mar-20,Added,IR,Ingersoll Rand,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[52][53]",,,,,,,,,,
2-Mar-20,Removed,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[52][53]",,,,,,,,,,
