No.,Symbol,Company,Sector,Industry,Country
373,PKG,Packaging Corp Of America,Consumer Cyclical,Packaging & Containers,USA
374,PLD,Prologis Inc,Real Estate,REIT - Industrial,USA
375,PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure,USA
376,PM,Philip Morris International Inc,Consumer Defensive,Tobacco,USA
377,PNC,PNC Financial Services Group Inc,Financial,Banks - Regional,USA
378,PNR,Pentair plc,Industrials,Specialty Industrial Machinery,United Kingdom
379,PNW,Pinnacle West Capital Corp,Utilities,Utilities - Regulated Electric,USA
380,PODD,Insulet Corporation,Healthcare,Medical Devices,USA
381,POOL,Pool Corporation,Industrials,Industrial Distribution,USA
382,PPG,"PPG Industries, Inc",Basic Materials,Specialty Chemicals,USA
383,PPL,PPL Corp,Utilities,Utilities - Regulated Electric,USA
384,PRU,Prudential Financial Inc,Financial,Insurance - Life,USA
385,PSA,Public Storage,Real Estate,REIT - Industrial,USA
386,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,USA
387,PTC,PTC Inc,Technology,Software - Application,USA
388,PWR,"Quanta Services, Inc",Industrials,Engineering & Construction,USA
389,PYPL,PayPal Holdings Inc,Financial,Credit Services,USA
390,QCOM,"Qualcomm, Inc",Technology,Semiconductors,USA
391,RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services,USA
392,REG,Regency Centers Corporation,Real Estate,REIT - Retail,USA
393,REGN,"Regeneron Pharmaceuticals, Inc",Healthcare,Biotechnology,USA
394,RF,Regions Financial Corp,Financial,Banks - Regional,USA
395,RJF,"Raymond James Financial, Inc",Financial,Asset Management,USA
396,RL,Ralph Lauren Corp,Consumer Cyclical,Apparel Manufacturing,USA
